title,point,date,review
어벤져스: 엔드게임,10,19.04.24,2000만도 충분히 돌파가능하다고 생각한다 나도 오늘 한번 월요일 4DX로 또 볼거니까. 진짜 10년 마블의 끝맺음이 이렇게 깔끔할수가...
어벤져스: 엔드게임,10,19.04.24,고마워요 당신을 처음 만난 11년 전이 떠올라 쉽게 자리를 떠나지 못했습니다.
어벤져스: 엔드게임,10,19.04.24,인생작 존잼입니다 꼭 보세요
어벤져스: 엔드게임,10,19.04.24,재밌다는 말로는 표현이 부족한데 뭐라고 해야할 지 모를 정도로 미쳤다...
어벤져스: 엔드게임,10,19.04.24,내생에 최고의 영화.. 이젠 어벤져스 시리즈 더이상 안나오겠죠ㅠ
어벤져스: 엔드게임,10,19.04.24,9살부터 20살 현재까지 11년동안 이 영화들이 있어 정말 많이 웃어왔는데 오늘만큼은 울고 싶네요...정말 마블팬 모두에게 기념비적인 영화임에 틀림없습니다. 꼭 보시고 이미 보신 분들은 아직 안 보신 분들을 배려해서 스포일러 자제합시다.””
어벤져스: 엔드게임,6,19.04.24,결말 아쉽다 기대가 너무 컷나봐ㅜ
어벤져스: 엔드게임,8,19.04.24,완벽한 피날레에 티끌하나 묻었다. pc.
어벤져스: 엔드게임,9,19.04.24,스케일 크고 재밋음..이해안돼는 좀 쌩뚱맞은 장면 몇개빼고
어벤져스: 엔드게임,10,19.04.24,9.2  9.3 정도.드라마같은 슬 픈..전 많이 슬펐어요.3시간8분인데.빨리 지나갔어요
어벤져스: 엔드게임,10,19.04.24,영화 진짜  재밌습니다 다시 또 보고싶네요!!~~^^
어벤져스: 엔드게임,10,19.04.24,I'm Iron man
어벤져스: 엔드게임,10,19.04.24,달려가서보세요스포를접하기전에요
어벤져스: 엔드게임,10,19.04.24,"진짜 세시간동안 눈을 뗄 수가 없었다 ㅜㅜ 이 배우들은 이 영화찍고나서 어떤 기분이 들었을까... 미국인들 본인이 미국사람이라는 것에 대해 국뽕 차오르게 하는 영화일듯. 진심 최고,,,"
어벤져스: 엔드게임,10,19.04.24,아이언맨으로 시작하여 아이언맨으로 끝난다
어벤져스: 엔드게임,10,19.04.24,아이언맨으로 시작하여 아이언맨으로 끝난다
